round_queries,996,1060,2470,6500,19296,43560,21932
round_k,2,9,32,100,302,908,2741
round_shots,808,329,176,89,70,42
round_queries,808,1645,4752,7921,19250,112266
round_k,2,13,44,137,431,1336
round_shots,906,146,101,72,105,62,5
round_queries,906,730,1919,4392,19215,35030,25975
round_k,2,9,30,91,282,865,2597
round_shots,990,179,158,162,81,76,42
round_queries,990,537,1422,4374,7533,22572,120162
round_k,1,4,13,46,148,446,1430
round_shots,917,157,102,96,95,74,13
round_queries,917,785,1938,5856,17575,41218,66989
round_k,2,9,30,92,278,855,2576
round_shots,935,176,212,114,109,68,18
round_queries,935,880,3604,5814,16895,32436,78930
round_k,2,8,25,77,238,728,2192
round_shots,837,94,147,94,85,62,19
round_queries,837,470,2205,4418,12325,27962,79401
round_k,2,7,23,72,225,686,2089
round_shots,481,238,107,81,80,83,6
round_queries,481,1190,2461,6075,18320,58515,42306
round_k,2,11,37,114,352,1161,3525
round_shots,928,179,144,144,84,87,48
round_queries,928,537,1296,4752,8484,28449,145200
round_k,1,4,16,50,163,498,1512
round_shots,509,149,227,89,108,73,19
round_queries,509,745,3405,4539,17604,36573,88559
round_k,2,7,25,81,250,757,2330
round_shots,620,227,115,233,140,52,3
round_queries,620,1135,2645,16543,31220,36972,19197
round_k,2,11,35,111,355,1066,3199
round_shots,648,238,124,155,126,71,7
round_queries,648,1190,2852,11005,27594,47499,43155
round_k,2,11,35,109,334,1025,3082
round_shots,599,332,122,81,71,58,6
round_queries,599,1660,3294,6723,18389,47154,44526
round_k,2,13,41,129,406,1231,3710
round_shots,573,155,113,90,83,79,3
round_queries,573,775,2147,5850,17015,50955,17721
round_k,2,9,32,102,322,984,2953
round_shots,936,146,200,95,80,64,14
round_queries,936,730,3000,4465,11600,28096,55314
round_k,2,7,23,72,219,658,1975
round_shots,681,160,95,88,74,64,4
round_queries,681,800,1805,5368,14134,36672,20980
round_k,2,9,30,95,286,861,2622
round_shots,551,146,242,275,99,66,21
round_queries,551,730,3630,12375,13365,27522,84273
round_k,2,7,22,67,208,658,2006
round_shots,675,146,117,85,70,180,12
round_queries,675,730,2223,5525,14350,112500,68148
round_k,2,9,32,102,312,946,2839
round_shots,959,225,111,105,68,67,9
round_queries,959,1125,2553,7875,16116,49513,60867
round_k,2,11,37,118,369,1109,3381
round_shots,790,150,199,87,74,58,15
round_queries,790,750,2985,4089,10878,27202,67245
round_k,2,7,23,73,234,708,2241
