round_queries,163,240,177
round_k,2,8,29
round_shots,264,62,2
round_queries,264,434,142
round_k,3,11,35
round_shots,145,79,5
round_queries,145,395,265
round_k,2,8,26
round_shots,318,81,4
round_queries,318,405,236
round_k,2,9,29
round_shots,273,29
round_queries,273,725
round_k,3,12
round_shots,259,35
round_queries,259,805
round_k,3,11
round_shots,212,90,3
round_queries,212,450,183
round_k,2,9,30
round_shots,315,69,4
round_queries,315,345,244
round_k,2,9,30
round_shots,312,29
round_queries,312,725
round_k,3,12
round_shots,188,64,4
round_queries,188,320,236
round_k,2,9,29
round_shots,216,71,3
round_queries,216,355,183
round_k,2,9,30
round_shots,181,60,4
round_queries,181,300,244
round_k,2,9,30
round_shots,163,77,5
round_queries,163,385,265
round_k,2,8,26
round_shots,177,69,5
round_queries,177,345,275
round_k,2,8,27
round_shots,141,68,5
round_queries,141,340,265
round_k,2,8,26
round_shots,145,55,5
round_queries,145,275,265
round_k,2,8,26
round_shots,281,84,3
round_queries,281,420,177
round_k,2,9,29
round_shots,141,71,3
round_queries,141,355,183
round_k,2,9,30
round_shots,345,35
round_queries,345,805
round_k,3,11
round_shots,184,68,5
round_queries,184,340,265
round_k,2,8,26
round_shots,165,54
round_queries,165,1026
round_k,2,9
round_shots,177,78,4
round_queries,177,390,244
round_k,2,9,30
round_shots,149,48,3
round_queries,149,240,171
round_k,2,8,28
round_shots,145,84,3
round_queries,145,420,177
round_k,2,9,29
round_shots,294,84,4
round_queries,294,420,236
round_k,2,9,29
round_shots,134,76,4
round_queries,134,380,244
round_k,2,9,30
round_shots,426,29
round_queries,426,725
round_k,3,12
round_shots,261,35
round_queries,261,805
round_k,3,11
round_shots,145,103,5
round_queries,145,515,275
round_k,2,8,27
round_shots,142,57,5
round_queries,142,285,265
round_k,2,8,26
round_shots,223,53
round_queries,223,1007
round_k,2,9
round_shots,256,39,2
round_queries,256,273,126
round_k,3,10,31
round_shots,191,98,3
round_queries,191,490,177
round_k,2,9,29
round_shots,163,73,2
round_queries,163,365,126
round_k,2,10,31
round_shots,256,29
round_queries,256,725
round_k,3,12
round_shots,223,108,2
round_queries,223,540,138
round_k,2,9,34
round_shots,368,35
round_queries,368,805
round_k,3,11
round_shots,301,74,4
round_queries,301,370,236
round_k,2,9,29
round_shots,216,61,3
round_queries,216,305,183
round_k,2,9,30
round_shots,202,63,5
round_queries,202,315,275
round_k,2,8,27
round_shots,281,63,3
round_queries,281,315,165
round_k,2,8,27
round_shots,286,35
round_queries,286,805
round_k,3,11
round_shots,142,60,3
round_queries,142,300,171
round_k,2,9,28
round_shots,230,52,5
round_queries,230,260,265
round_k,2,8,26
round_shots,298,78,3
round_queries,298,390,171
round_k,2,9,28
round_shots,223,81,4
round_queries,223,405,236
round_k,2,9,29
round_shots,321,48,5
round_queries,321,240,275
round_k,2,8,27
round_shots,274,35
round_queries,274,805
round_k,3,11
round_shots,362,35
round_queries,362,805
round_k,3,11
round_shots,262,45,2
round_queries,262,315,142
round_k,3,11,35
round_shots,267,95,3
round_queries,267,475,183
round_k,2,9,30
round_shots,318,78,4
round_queries,318,390,236
round_k,2,9,29
round_shots,141,84,5
round_queries,141,420,265
round_k,2,8,26
round_shots,223,74,4
round_queries,223,370,244
round_k,2,9,30
round_shots,260,67,4
round_queries,260,335,236
round_k,2,9,29
round_shots,313,35
round_queries,313,805
round_k,3,11
round_shots,212,53
round_queries,212,1007
round_k,2,9
round_shots,247,55,5
round_queries,247,275,265
round_k,2,8,26
round_shots,265,35
round_queries,265,805
round_k,3,11
round_shots,291,84,4
round_queries,291,420,244
round_k,2,9,30
round_shots,259,29
round_queries,259,725
round_k,3,12
round_shots,240,64,3
round_queries,240,320,183
round_k,2,9,30
round_shots,202,71,4
round_queries,202,355,244
round_k,2,9,30
round_shots,274,64,4
round_queries,274,320,244
round_k,2,9,30
round_shots,357,35
round_queries,357,805
round_k,3,11
round_shots,156,71,4
round_queries,156,355,212
round_k,2,8,26
round_shots,145,69,5
round_queries,145,345,265
round_k,2,8,26
round_shots,242,26,17
round_queries,242,78,459
round_k,1,4,13
round_shots,309,29
round_queries,309,725
round_k,3,12
round_shots,309,35
round_queries,309,805
round_k,3,11
round_shots,334,29
round_queries,334,725
round_k,3,12
round_shots,269,65,1
round_queries,269,455,73
round_k,3,11,36
round_shots,223,48,3
round_queries,223,240,165
round_k,2,8,27
round_shots,311,71,4
round_queries,311,355,236
round_k,2,9,29
round_shots,254,48,5
round_queries,254,240,265
round_k,2,8,26
round_shots,135,53,5
round_queries,135,265,275
round_k,2,8,27
round_shots,316,29
round_queries,316,725
round_k,3,12
round_shots,167,60,4
round_queries,167,300,236
round_k,2,9,29
round_shots,298,81,3
round_queries,298,405,177
round_k,2,9,29
round_shots,141,74,3
round_queries,141,370,165
round_k,2,8,27
round_shots,134,61,4
round_queries,134,305,244
round_k,2,9,30
round_shots,327,29
round_queries,327,725
round_k,3,12
round_shots,156,55,5
round_queries,156,275,265
round_k,2,8,26
round_shots,311,53,5
round_queries,311,265,275
round_k,2,8,27
round_shots,198,87,3
round_queries,198,435,165
round_k,2,8,27
round_shots,226,78,5
round_queries,226,390,275
round_k,2,8,27
round_shots,159,101,3
round_queries,159,505,171
round_k,2,9,28
round_shots,216,62,5
round_queries,216,310,265
round_k,2,8,26
round_shots,345,58,5
round_queries,345,290,265
round_k,2,8,26
round_shots,163,84,2
round_queries,163,420,134
round_k,2,9,33
round_shots,260,53
round_queries,260,1007
round_k,2,9
round_shots,134,70,4
round_queries,134,350,236
round_k,2,9,29
round_shots,247,56,3
round_queries,247,280,165
round_k,2,8,27
round_shots,330,29
round_queries,330,725
round_k,3,12
round_shots,277,66,4
round_queries,277,330,236
round_k,2,8,29
round_shots,135,48,5
round_queries,135,240,275
round_k,2,8,27
round_shots,283,35
round_queries,283,805
round_k,3,11
round_shots,136,91,4
round_queries,136,455,236
round_k,2,9,29
round_shots,138,64,3
round_queries,138,320,177
round_k,2,9,29
round_shots,355,64,4
round_queries,355,320,244
round_k,2,9,30
round_shots,135,52,5
round_queries,135,260,275
round_k,2,8,27
round_shots,226,48,3
round_queries,226,240,165
round_k,2,8,27
round_shots,284,73,4
round_queries,284,365,212
round_k,2,8,26
round_shots,291,55,5
round_queries,291,275,275
round_k,2,8,27
round_shots,240,60,4
round_queries,240,300,244
round_k,2,9,30
round_shots,338,95,5
round_queries,338,475,265
round_k,2,8,26
round_shots,351,59,2
round_queries,351,413,138
round_k,3,11,34
round_shots,277,74,4
round_queries,277,370,236
round_k,2,9,29
round_shots,226,51,5
round_queries,226,255,265
round_k,2,8,26
round_shots,180,48,5
round_queries,180,240,275
round_k,2,8,27
round_shots,309,35
round_queries,309,805
round_k,3,11
round_shots,292,29
round_queries,292,725
round_k,3,12
round_shots,265,29
round_queries,265,725
round_k,3,12
round_shots,283,49,3
round_queries,283,343,207
round_k,3,11,34
round_shots,309,35
round_queries,309,805
round_k,3,11
round_shots,157,52,5
round_queries,157,260,275
round_k,2,8,27
round_shots,304,101,4
round_queries,304,505,236
round_k,2,9,29
round_shots,167,48,5
round_queries,167,240,275
round_k,2,8,27
round_shots,331,29
round_queries,331,725
round_k,3,12
round_shots,284,78,2
round_queries,284,390,138
round_k,2,8,34
round_shots,219,61,5
round_queries,219,305,275
round_k,2,8,27
round_shots,257,101,5
