round_k,1,4,13,40,131
round_shots,91,568,118,43
round_queries,91,1704,2714,11137
round_k,1,11,40,129
round_shots,88,699,143,64,41
round_queries,88,2097,1287,1728,10947
round_k,1,4,13,41,133
round_shots,152,704,91,103,51
round_queries,152,2112,819,2781,15453
round_k,1,4,13,48,151
round_shots,293,672,98,100,31
round_queries,293,2016,882,2700,8835
round_k,1,4,13,47,142
round_shots,118,583,95,129,4
round_queries,118,1749,2185,10191,2924
round_k,1,11,39,121,365
round_shots,132,600,71,82,5
round_queries,132,1800,1633,5986,3495
round_k,1,11,36,114,349
round_shots,88,419,211,65,7
round_queries,88,1257,4009,4875,5411
round_k,1,9,37,122,386
round_shots,167,482,90,65,3
round_queries,167,1446,1890,4615,2145
round_k,1,10,35,116,357
round_shots,91,570,173,105,51
round_queries,91,1710,1557,2835,14229
round_k,1,4,13,46,139
round_shots,124,337,69,82,54
round_queries,124,1011,621,2214,13986
round_k,1,4,13,40,129
round_shots,132,654,95,143,4
round_queries,132,1962,2185,11297,2956
round_k,1,11,39,120,369
round_shots,121,631,91,90,160,3
round_queries,121,1893,819,2430,12960,2247
round_k,1,4,13,40,122,374
round_shots,102,614,91,63,5
round_queries,102,1842,2093,4347,3205
round_k,1,11,34,106,320
round_shots,156,639,72,69,3
round_queries,156,1917,1800,5313,2277
round_k,1,12,38,126,379
round_shots,277,594,68,64,3
round_queries,277,1782,1564,4544,1965
round_k,1,11,35,106,327
round_shots,113,497,81,57,3
round_queries,113,1491,1701,3933,2019
round_k,1,10,34,105,336
round_shots,215,484,125,60,3
round_queries,215,1452,2375,4140,1959
round_k,1,9,34,105,326
round_shots,167,573,116,99,4
round_queries,167,1719,2436,7425,2948
round_k,1,10,37,116,368
round_shots,178,617,96,57
round_queries,178,1851,2208,14421
round_k,1,11,39,126
round_shots,91,659,107,64
round_queries,91,1977,2461,15552
round_k,1,11,40,121
round_shots,138,626,83,62,3
round_queries,138,1878,1909,4650,2091
round_k,1,11,37,115,348
round_shots,167,498,170,117
round_queries,167,1494,3570,29367
round_k,1,10,40,125
round_shots,240,643,77,65,3
round_queries,240,1929,1771,4875,2025
round_k,1,11,37,112,337
round_shots,127,722,87,52,3
round_queries,127,2166,2175,3900,2025
round_k,1,12,37,112,337
round_shots,124,482,213,47
round_queries,124,1446,4473,11703
round_k,1,10,41,124
round_shots,229,603,96,52,6
round_queries,229,1809,2208,4108,4338
round_k,1,11,39,118,361
round_shots,170,416,249,69,15
round_queries,170,1248,4731,3933,7725
round_k,1,9,28,85,257
round_shots,88,694,78,66,3
round_queries,88,2082,1950,4950,2265
round_k,1,12,37,123,377
round_shots,159,628,70,62,5
round_queries,159,1884,1610,4278,3165
round_k,1,11,34,105,316
round_shots,138,396,112,98,24
round_queries,138,1188,1008,2646,7800
round_k,1,4,13,51,162
round_shots,88,576,195,42
